"","x"
"1",3.46666666666667
"2",3.46666666666667
"3",3.93333333333333
"6",3.8
"5",4.53333333333333
"4",4.6
"10",4.46666666666667
"7",3.6
"8",1.66666666666667
"13",2.6
"11",3.66666666666667
"15",4
"16",2.86666666666667
"19",2.93333333333333
"18",3.26666666666667
"17",3.4
"24",4.4
"21",2.2
"23",2.8
"22",3.26666666666667
"20",4.4
"29",3.86666666666667
"27",3.8
"25",2.93333333333333
"28",4.2
"34",2.93333333333333
"31",3.2
"32",3.73333333333333
"33",3.6
"35",3.93333333333333
"37",2
"38",3.13333333333333
"41",2.86666666666667
"44",3.2
"40",2.13333333333333
"42",3.66666666666667
"46",3.33333333333333
"57",3.86666666666667
"55",4.26666666666667
"56",4.46666666666667
"59",3.4
"49",2.13333333333333
"58",2.86666666666667
"53",3.33333333333333
"51",3.53333333333333
"48",3.26666666666667
"61",1.46666666666667
"54",2.93333333333333
"62",4.2
"65",3.13333333333333
