"","x"
"1",3.93333333333333
"2",3.4
"3",1.93333333333333
"6",4.06666666666667
"5",4.13333333333333
"4",2.46666666666667
"10",3.8
"7",3.66666666666667
"8",2.73333333333333
"13",2.4
"11",2.46666666666667
"15",3.66666666666667
"16",2.93333333333333
"19",3.46666666666667
"18",3.4
"17",3.66666666666667
"24",4
"21",2.26666666666667
"23",4.2
"22",3.93333333333333
"20",1.8
"29",2.86666666666667
"27",2.93333333333333
"25",1.6
"28",2.53333333333333
"34",1.13333333333333
"31",3.6
"32",3.73333333333333
"33",3.26666666666667
"35",3
"37",2.53333333333333
"38",2.2
"41",4.46666666666667
"44",2.2
"40",4.4
"42",3.4
"46",2.46666666666667
"57",3
"55",1.93333333333333
"56",3.46666666666667
"59",2.46666666666667
"49",2.86666666666667
"58",3.13333333333333
"53",2.8
"51",2.66666666666667
"48",2.13333333333333
"61",2.33333333333333
"54",2.86666666666667
"62",1.93333333333333
"65",4.2
