"","x"
"1",3.73333333333333
"2",3.26666666666667
"3",2.8
"6",2
"5",1
"4",4.73333333333333
"10",1.46666666666667
"7",3.2
"8",2.06666666666667
"13",4.06666666666667
"11",2.46666666666667
"15",2.73333333333333
"16",2.26666666666667
"19",3.26666666666667
"18",1.2
"17",2.26666666666667
"24",1.53333333333333
"21",3.53333333333333
"23",3.06666666666667
"22",1.66666666666667
"20",3.66666666666667
"29",1.93333333333333
"27",2.46666666666667
"25",2.93333333333333
"28",2.13333333333333
"34",3.33333333333333
"31",4
"32",1.26666666666667
"33",3.53333333333333
"35",2.8
"37",2.8
"38",4.46666666666667
"41",4.53333333333333
"44",1.46666666666667
"40",1
"42",3.13333333333333
"46",1.93333333333333
"57",2.86666666666667
"55",4.2
"56",1
"59",2.93333333333333
"49",3.6
"58",2.93333333333333
"53",2.26666666666667
"51",3.06666666666667
"48",2.46666666666667
"61",3.8
"54",4.06666666666667
"62",2.06666666666667
"65",1.26666666666667
