"","x"
"1",3.86666666666667
"2",3.4
"3",4.13333333333333
"6",4.33333333333333
"5",4.06666666666667
"4",2.73333333333333
"10",3.93333333333333
"7",4.8
"8",2.4
"13",3.26666666666667
"11",4.2
"15",4.6
"16",4.53333333333333
"19",4.46666666666667
"18",4.33333333333333
"17",3.13333333333333
"24",4.06666666666667
"21",3.6
"23",4.2
"22",2.93333333333333
"20",3.6
"29",3.6
"27",4
"25",3.53333333333333
"28",4
"34",2.53333333333333
"31",3.66666666666667
"32",3.33333333333333
"33",4.2
"35",3.93333333333333
"37",3.53333333333333
"38",3.66666666666667
"41",4.46666666666667
"44",2.93333333333333
"40",4.53333333333333
"42",4.4
"46",2.86666666666667
"57",3.93333333333333
"55",2.46666666666667
"56",3.4
"59",3.33333333333333
"49",4.33333333333333
"58",4.06666666666667
"53",3.06666666666667
"51",3.73333333333333
"48",3.53333333333333
"61",3.46666666666667
"54",4.73333333333333
"62",3
"65",4.13333333333333
